Partido,Oponente,Resultado,Goles a favor,Goles en contra,Definicion penales,penales a favor,penales en contra
21/07/2023,Cruz Azul,V,2,1,0,0,0
25/07/2023,Atlanta United,V,4,0,0,0,0
02/08/2023,Orlando City,V,3,1,0,0,0
06/08/2023,FC Dallas,V,4,4,1,5,3
11/08/2023,Charlotte FC,V,4,0,0,0,0
15/08/2023,Philadelphia,V,4,1,0,0,0
19/08/2023,Nashville SC,V,1,1,0,10,9
23/08/2023,FC Cincinatti,V,3,3,1,5,4
26/08/2023,NY Red Bulls,V,2,0,0,0,0
30/08/2023,Nashville SC,E,0,0,0,0,0
03/09/2023,Los Angeles FC,V,3,1,0,0,0
20/09/2023,Toronto FC,V,4,0,0,0,0
7/10/2023,FC Cincinatti,D,0,1,0,0,0
21/10/2023,Charlotte FC,D,0,1,0,0,0
